Code;Municipality;RegionType;Installations;Power
NL00;Nederland;Land;960248;3236417
GM1680;Aa en Hunze;Gemeente;2573;10050
WK168000;Aa en Hunze;Wijk;408;1476
BU16800000;Aa en Hunze;Buurt;396;1426
BU16800009;Aa en Hunze;Buurt;12;50
WK168001;Aa en Hunze;Wijk;144;547
BU16800100;Aa en Hunze;Buurt;132;489
BU16800109;Aa en Hunze;Buurt;12;57
WK168002;Aa en Hunze;Wijk;39;177
BU16800200;Aa en Hunze;Buurt;32;142
BU16800209;Aa en Hunze;Buurt;7;35
WK168003;Aa en Hunze;Wijk;53;227
BU16800300;Aa en Hunze;Buurt;53;227
BU16800309;Aa en Hunze;Buurt;;
WK168004;Aa en Hunze;Wijk;27;129
BU16800400;Aa en Hunze;Buurt;24;114
BU16800409;Aa en Hunze;Buurt;3;15
WK168005;Aa en Hunze;Wijk;82;325
BU16800500;Aa en Hunze;Buurt;79;312
BU16800509;Aa en Hunze;Buurt;3;13
WK168006;Aa en Hunze;Wijk;61;249
BU16800600;Aa en Hunze;Buurt;58;238
BU16800609;Aa en Hunze;Buurt;3;11
WK168007;Aa en Hunze;Wijk;20;80
BU16800700;Aa en Hunze;Buurt;20;80
BU16800709;Aa en Hunze;Buurt;;
WK168008;Aa en Hunze;Wijk;12;46
BU16800800;Aa en Hunze;Buurt;;
BU16800809;Aa en Hunze;Buurt;;
WK168009;Aa en Hunze;Wijk;12;68
BU16800900;Aa en Hunze;Buurt;12;68
BU16800909;Aa en Hunze;Buurt;;
WK168011;Aa en Hunze;Wijk;40;149
BU16801100;Aa en Hunze;Buurt;40;149
BU16801109;Aa en Hunze;Buurt;;
WK168012;Aa en Hunze;Wijk;25;89
BU16801200;Aa en Hunze;Buurt;25;89
BU16801209;Aa en Hunze;Buurt;;
WK168013;Aa en Hunze;Wijk;11;57
BU16801300;Aa en Hunze;Buurt;6;23
BU16801309;Aa en Hunze;Buurt;5;34
WK168014;Aa en Hunze;Wijk;157;669
BU16801400;Aa en Hunze;Buurt;129;524
BU16801401;Aa en Hunze;Buurt;17;100
BU16801409;Aa en Hunze;Buurt;11;45
WK168015;Aa en Hunze;Wijk;171;582
BU16801500;Aa en Hunze;Buurt;166;550
BU16801501;Aa en Hunze;Buurt;5;32
BU16801509;Aa en Hunze;Buurt;;
WK168016;Aa en Hunze;Wijk;60;244
BU16801600;Aa en Hunze;Buurt;;
BU16801601;Aa en Hunze;Buurt;;
BU16801609;Aa en Hunze;Buurt;;
WK168017;Aa en Hunze;Wijk;503;1803
BU16801700;Aa en Hunze;Buurt;486;1699
BU16801709;Aa en Hunze;Buurt;17;104
WK168018;Aa en Hunze;Wijk;109;552
BU16801800;Aa en Hunze;Buurt;52;202
BU16801801;Aa en Hunze;Buurt;8;48
BU16801802;Aa en Hunze;Buurt;20;140
BU16801809;Aa en Hunze;Buurt;29;162
WK168019;Aa en Hunze;Wijk;516;2016
BU16801900;Aa en Hunze;Buurt;393;1424
BU16801901;Aa en Hunze;Buurt;14;65
BU16801902;Aa en Hunze;Buurt;5;34
BU16801903;Aa en Hunze;Buurt;11;75
BU16801908;Aa en Hunze;Buurt;76;304
BU16801909;Aa en Hunze;Buurt;17;115
WK168020;Aa en Hunze;Wijk;83;367
BU16802000;Aa en Hunze;Buurt;55;231
BU16802001;Aa en Hunze;Buurt;;
BU16802008;Aa en Hunze;Buurt;;
BU16802009;Aa en Hunze;Buurt;15;91
WK168021;Aa en Hunze;Wijk;40;200
BU16802100;Aa en Hunze;Buurt;19;92
BU16802101;Aa en Hunze;Buurt;8;36
BU16802109;Aa en Hunze;Buurt;13;73
GM0358;Aalsmeer;Gemeente;1622;5701
WK035800;Aalsmeer;Wijk;540;1828
BU03580000;Aalsmeer;Buurt;127;514
BU03580001;Aalsmeer;Buurt;242;701
BU03580004;Aalsmeer;Buurt;123;385
BU03580005;Aalsmeer;Buurt;48;228
WK035801;Aalsmeer;Wijk;500;1510
BU03580100;Aalsmeer;Buurt;500;1510
WK035802;Aalsmeer;Wijk;582;2364
BU03580200;Aalsmeer;Buurt;63;355
BU03580201;Aalsmeer;Buurt;50;218
BU03580205;Aalsmeer;Buurt;441;1629
BU03580206;Aalsmeer;Buurt;28;161
GM0197;Aalten;Gemeente;1973;7576
WK019701;Aalten;Wijk;267;1353
BU01970101;Aalten;Buurt;14;61
BU01970102;Aalten;Buurt;30;197
BU01970103;Aalten;Buurt;26;131
BU01970104;Aalten;Buurt;33;189
BU01970105;Aalten;Buurt;16;57
BU01970106;Aalten;Buurt;16;56
BU01970107;Aalten;Buurt;10;60
BU01970108;Aalten;Buurt;29;137
BU01970109;Aalten;Buurt;5;42
BU01970110;Aalten;Buurt;51;249
BU01970111;Aalten;Buurt;28;141
BU01970112;Aalten;Buurt;9;33
WK019702;Aalten;Wijk;132;502
BU01970201;Aalten;Buurt;11;59
BU01970202;Aalten;Buurt;20;81
BU01970203;Aalten;Buurt;3;8
BU01970204;Aalten;Buurt;98;354
WK019703;Aalten;Wijk;963;3340
BU01970301;Aalten;Buurt;169;535
BU01970302;Aalten;Buurt;168;610
BU01970303;Aalten;Buurt;144;480
BU01970304;Aalten;Buurt;184;611
BU01970305;Aalten;Buurt;101;412
BU01970306;Aalten;Buurt;76;236
BU01970307;Aalten;Buurt;121;457
WK019704;Aalten;Wijk;611;2382
BU01970400;Aalten;Buurt;162;538
BU01970401;Aalten;Buurt;135;514
BU01970402;Aalten;Buurt;178;641
BU01970403;Aalten;Buurt;42;168
BU01970408;Aalten;Buurt;32;188
BU01970409;Aalten;Buurt;62;332
GM0059;Achtkarspelen;Gemeente;1717;7508
WK005900;Achtkarspelen;Wijk;774;2917
BU00590000;Achtkarspelen;Buurt;387;1484
BU00590001;Achtkarspelen;Buurt;37;143
BU00590002;Achtkarspelen;Buurt;128;418
BU00590003;Achtkarspelen;Buurt;77;268
BU00590004;Achtkarspelen;Buurt;43;139
BU00590005;Achtkarspelen;Buurt;50;245
BU00590006;Achtkarspelen;Buurt;5;27
BU00590007;Achtkarspelen;Buurt;23;110
BU00590008;Achtkarspelen;Buurt;16;52
BU00590009;Achtkarspelen;Buurt;8;31
WK005901;Achtkarspelen;Wijk;199;1766
BU00590100;Achtkarspelen;Buurt;7;30
BU00590102;Achtkarspelen;Buurt;98;1324
BU00590103;Achtkarspelen;Buurt;64;289
BU00590107;Achtkarspelen;Buurt;3;14
BU00590108;Achtkarspelen;Buurt;14;50
BU00590109;Achtkarspelen;Buurt;13;59
WK005902;Achtkarspelen;Wijk;744;2826
BU00590200;Achtkarspelen;Buurt;352;1177
BU00590201;Achtkarspelen;Buurt;196;818
BU00590202;Achtkarspelen;Buurt;57;206
BU00590203;Achtkarspelen;Buurt;32;120
BU00590206;Achtkarspelen;Buurt;25;104
BU00590207;Achtkarspelen;Buurt;20;101
BU00590208;Achtkarspelen;Buurt;28;150
BU00590209;Achtkarspelen;Buurt;34;151
GM0482;Alblasserdam;Gemeente;604;1913
WK048201;Alblasserdam;Wijk;129;459
BU04820101;Alblasserdam;Buurt;46;166
BU04820102;Alblasserdam;Buurt;6;16
BU04820103;Alblasserdam;Buurt;32;83
BU04820104;Alblasserdam;Buurt;21;69
BU04820105;Alblasserdam;Buurt;24;124
WK048202;Alblasserdam;Wijk;105;350
BU04820201;Alblasserdam;Buurt;19;82
BU04820202;Alblasserdam;Buurt;30;106
BU04820203;Alblasserdam;Buurt;;
BU04820204;Alblasserdam;Buurt;;
BU04820205;Alblasserdam;Buurt;20;56
BU04820206;Alblasserdam;Buurt;19;52
WK048203;Alblasserdam;Wijk;258;698
BU04820301;Alblasserdam;Buurt;58;170
BU04820302;Alblasserdam;Buurt;37;116
BU04820303;Alblasserdam;Buurt;50;126
BU04820304;Alblasserdam;Buurt;46;104
BU04820305;Alblasserdam;Buurt;17;44
BU04820306;Alblasserdam;Buurt;27;83
BU04820307;Alblasserdam;Buurt;23;56
WK048204;Alblasserdam;Wijk;99;304
BU04820401;Alblasserdam;Buurt;34;98
BU04820402;Alblasserdam;Buurt;42;129
BU04820403;Alblasserdam;Buurt;;
BU04820404;Alblasserdam;Buurt;;
WK048205;Alblasserdam;Wijk;4;50
BU04820501;Alblasserdam;Buurt;;
BU04820502;Alblasserdam;Buurt;;
BU04820503;Alblasserdam;Buurt;;
WK048206;Alblasserdam;Wijk;9;53
BU04820601;Alblasserdam;Buurt;;
BU04820602;Alblasserdam;Buurt;;
BU04820603;Alblasserdam;Buurt;;
BU04820604;Alblasserdam;Buurt;;
GM0613;Albrandswaard;Gemeente;874;2894
WK061301;Albrandswaard;Wijk;109;385
BU06130101;Albrandswaard;Buurt;91;311
BU06130102;Albrandswaard;Buurt;;
BU06130103;Albrandswaard;Buurt;;
BU06130104;Albrandswaard;Buurt;10;33
WK061302;Albrandswaard;Wijk;63;193
BU06130205;Albrandswaard;Buurt;;
BU06130207;Albrandswaard;Buurt;;
WK061303;Albrandswaard;Wijk;215;676
BU06130308;Albrandswaard;Buurt;20;68
BU06130309;Albrandswaard;Buurt;81;264
BU06130310;Albrandswaard;Buurt;32;83
BU06130311;Albrandswaard;Buurt;61;188
BU06130312;Albrandswaard;Buurt;15;53
BU06130313;Albrandswaard;Buurt;6;20
WK061304;Albrandswaard;Wijk;268;822
BU06130414;Albrandswaard;Buurt;35;116
BU06130415;Albrandswaard;Buurt;89;273
BU06130416;Albrandswaard;Buurt;13;49
BU06130417;Albrandswaard;Buurt;30;93
BU06130418;Albrandswaard;Buurt;58;166
BU06130419;Albrandswaard;Buurt;32;85
BU06130420;Albrandswaard;Buurt;11;39
WK061305;Albrandswaard;Wijk;;
BU06130521;Albrandswaard;Buurt;;
BU06130522;Albrandswaard;Buurt;11;54
WK061306;Albrandswaard;Wijk;206;756
BU06130623;Albrandswaard;Buurt;82;306
BU06130624;Albrandswaard;Buurt;46;178
BU06130625;Albrandswaard;Buurt;4;15
BU06130626;Albrandswaard;Buurt;74;256
WK061307;Albrandswaard;Wijk;;
BU06130706;Albrandswaard;Buurt;;
GM0361;Alkmaar;Gemeente;6280;18416
WK036101;Alkmaar;Wijk;434;1248
BU03610100;Alkmaar;Buurt;56;261
BU03610101;Alkmaar;Buurt;45;127
BU03610102;Alkmaar;Buurt;49;91
BU03610103;Alkmaar;Buurt;5;17
BU03610104;Alkmaar;Buurt;33;74
BU03610105;Alkmaar;Buurt;54;134
BU03610106;Alkmaar;Buurt;56;197
BU03610107;Alkmaar;Buurt;26;69
BU03610108;Alkmaar;Buurt;52;131
BU03610109;Alkmaar;Buurt;58;148
WK036102;Alkmaar;Wijk;1276;3445
BU03610200;Alkmaar;Buurt;193;576
BU03610201;Alkmaar;Buurt;211;586
BU03610202;Alkmaar;Buurt;162;513
BU03610203;Alkmaar;Buurt;96;294
BU03610204;Alkmaar;Buurt;228;529
BU03610205;Alkmaar;Buurt;;
BU03610206;Alkmaar;Buurt;116;286
BU03610208;Alkmaar;Buurt;230;547
BU03610209;Alkmaar;Buurt;;
WK036103;Alkmaar;Wijk;120;341
BU03610300;Alkmaar;Buurt;41;131
BU03610301;Alkmaar;Buurt;;
BU03610302;Alkmaar;Buurt;38;79
BU03610303;Alkmaar;Buurt;30;86
BU03610308;Alkmaar;Buurt;;
BU03610309;Alkmaar;Buurt;;
WK036104;Alkmaar;Wijk;575;1468
BU03610400;Alkmaar;Buurt;86;237
BU03610401;Alkmaar;Buurt;139;363
BU03610402;Alkmaar;Buurt;75;144
BU03610403;Alkmaar;Buurt;47;130
BU03610404;Alkmaar;Buurt;217;559
BU03610409;Alkmaar;Buurt;11;35
WK036105;Alkmaar;Wijk;288;881
BU03610500;Alkmaar;Buurt;91;268
BU03610501;Alkmaar;Buurt;6;93
BU03610502;Alkmaar;Buurt;129;360
BU03610503;Alkmaar;Buurt;62;160
WK036106;Alkmaar;Wijk;1050;2791
BU03610600;Alkmaar;Buurt;279;810
BU03610601;Alkmaar;Buurt;225;555
BU03610602;Alkmaar;Buurt;304;788
BU03610603;Alkmaar;Buurt;172;475
BU03610604;Alkmaar;Buurt;70;162
WK036107;Alkmaar;Wijk;1050;3124
BU03610700;Alkmaar;Buurt;227;770
BU03610701;Alkmaar;Buurt;283;758
BU03610702;Alkmaar;Buurt;153;431
BU03610703;Alkmaar;Buurt;176;512
BU03610704;Alkmaar;Buurt;208;640
BU03610709;Alkmaar;Buurt;3;13
WK036108;Alkmaar;Wijk;153;470
BU03610800;Alkmaar;Buurt;22;134
BU03610801;Alkmaar;Buurt;90;238
BU03610802;Alkmaar;Buurt;;
BU03610803;Alkmaar;Buurt;;
WK036109;Alkmaar;Wijk;429;1682
BU03610900;Alkmaar;Buurt;57;230
BU03610901;Alkmaar;Buurt;8;102
BU03610902;Alkmaar;Buurt;154;508
BU03610903;Alkmaar;Buurt;94;345
BU03610904;Alkmaar;Buurt;36;146
BU03610905;Alkmaar;Buurt;18;70
BU03610906;Alkmaar;Buurt;62;281
WK036110;Alkmaar;Wijk;344;1225
BU03611000;Alkmaar;Buurt;6;21
BU03611001;Alkmaar;Buurt;62;211
BU03611002;Alkmaar;Buurt;67;236
BU03611003;Alkmaar;Buurt;174;600
BU03611004;Alkmaar;Buurt;9;31
BU03611005;Alkmaar;Buurt;5;57
BU03611006;Alkmaar;Buurt;21;68
WK036111;Alkmaar;Wijk;561;1743
BU03611100;Alkmaar;Buurt;444;1373
BU03611101;Alkmaar;Buurt;117;370
GM0141;Almelo;Gemeente;3093;11007
WK014110;Almelo;Wijk;51;320
BU01411000;Almelo;Buurt;27;184
BU01411001;Almelo;Buurt;10;70
BU01411002;Almelo;Buurt;9;54
BU01411003;Almelo;Buurt;5;12
WK014111;Almelo;Wijk;271;719
BU01411100;Almelo;Buurt;30;92
BU01411101;Almelo;Buurt;;
BU01411102;Almelo;Buurt;23;72
BU01411103;Almelo;Buurt;118;269
BU01411104;Almelo;Buurt;15;26
BU01411105;Almelo;Buurt;;
BU01411106;Almelo;Buurt;54;174
BU01411109;Almelo;Buurt;25;65
WK014112;Almelo;Wijk;355;1212
BU01411200;Almelo;Buurt;94;248
BU01411201;Almelo;Buurt;82;301
BU01411202;Almelo;Buurt;42;159
BU01411209;Almelo;Buurt;137;505
WK014113;Almelo;Wijk;228;935
BU01411300;Almelo;Buurt;40;154
BU01411301;Almelo;Buurt;89;367
BU01411302;Almelo;Buurt;14;49
BU01411303;Almelo;Buurt;16;53
BU01411309;Almelo;Buurt;69;312
WK014114;Almelo;Wijk;122;514
BU01411400;Almelo;Buurt;16;50
BU01411401;Almelo;Buurt;;
BU01411402;Almelo;Buurt;;
BU01411403;Almelo;Buurt;16;100
BU01411404;Almelo;Buurt;33;118
BU01411405;Almelo;Buurt;17;62
BU01411406;Almelo;Buurt;14;62
BU01411409;Almelo;Buurt;10;74
WK014115;Almelo;Wijk;94;278
BU01411500;Almelo;Buurt;16;96
BU01411501;Almelo;Buurt;10;30
BU01411502;Almelo;Buurt;60;130
BU01411503;Almelo;Buurt;8;22
WK014116;Almelo;Wijk;103;344
BU01411600;Almelo;Buurt;9;29
BU01411601;Almelo;Buurt;16;56
BU01411602;Almelo;Buurt;5;14
BU01411603;Almelo;Buurt;21;68
BU01411604;Almelo;Buurt;47;157
BU01411605;Almelo;Buurt;5;20
WK014117;Almelo;Wijk;165;628
BU01411700;Almelo;Buurt;;
BU01411701;Almelo;Buurt;40;127
BU01411702;Almelo;Buurt;18;87
BU01411703;Almelo;Buurt;82;334
BU01411709;Almelo;Buurt;;
WK014118;Almelo;Wijk;435;1621
BU01411800;Almelo;Buurt;71;279
BU01411801;Almelo;Buurt;8;26
BU01411802;Almelo;Buurt;63;245
BU01411803;Almelo;Buurt;32;100
BU01411804;Almelo;Buurt;119;411
